Area,Year,Maximum Values,Median
China,2019.0,42426578.0,39235019.0
Democratic People's Republic of Korea,2019.0,805965.0,780000.0
Ecuador,2011.0,9187.0,7406.0
El Salvador,2019.0,64997.0,39496.0
Honduras,2019.0,187.0,180.0
Kyrgyzstan,2019.0,151207.0,139901.0
Madagascar,2019.0,7137.0,7039.0
Palestine,2014.0,1250.0,910.0
Paraguay,2014.0,714.0,685.0
Russian Federation,2019.0,1950800.0,1573000.0
Tajikistan,2019.0,242918.0,227000.0
Turkmenistan,2019.0,66525.0,63200.0
Zimbabwe,2009.0,6891.0,6550.0
